2025-03-07 16:49:07.990, FPS = 71.7933: Left Eye Position - X: -0.001721505, Y: 0.0321997, Z: 0.3287724, Gaze: (0.09, 0.20, 0.98) / Right Eye Position - X: 0.06526044, Y: 0.033903, Z: 0.3225229, Gaze: (0.09, 0.20, 0.98)
2025-03-07 16:49:08.993, FPS = 71.15786: Left Eye Position - X: -0.002735231, Y: 0.02844308, Z: 0.331223, Gaze: (0.08, 0.17, 0.98) / Right Eye Position - X: 0.06430373, Y: 0.03011492, Z: 0.3256088, Gaze: (0.08, 0.17, 0.98)
2025-03-07 16:49:09.994, FPS = 72.03636: Left Eye Position - X: -0.003494781, Y: 0.02499853, Z: 0.3335311, Gaze: (0.07, 0.15, 0.99) / Right Eye Position - X: 0.06357835, Y: 0.02677609, Z: 0.3283762, Gaze: (0.07, 0.15, 0.99)
2025-03-07 16:49:10.996, FPS = 72.06139: Left Eye Position - X: -0.0045151, Y: 0.02310169, Z: 0.3348607, Gaze: (0.07, 0.14, 0.99) / Right Eye Position - X: 0.06258804, Y: 0.02487306, Z: 0.33011, Gaze: (0.07, 0.14, 0.99)
2025-03-07 16:49:11.999, FPS = 72.21634: Left Eye Position - X: -0.004984103, Y: 0.02243552, Z: 0.3349365, Gaze: (0.06, 0.13, 0.99) / Right Eye Position - X: 0.06212646, Y: 0.02425465, Z: 0.3303102, Gaze: (0.06, 0.13, 0.99)
2025-03-07 16:49:13.001, FPS = 72.04787: Left Eye Position - X: -0.004662745, Y: 0.0210792, Z: 0.3358919, Gaze: (0.06, 0.12, 0.99) / Right Eye Position - X: 0.06245103, Y: 0.02283601, Z: 0.3312884, Gaze: (0.06, 0.12, 0.99)
2025-03-07 16:49:14.003, FPS = 71.58825: Left Eye Position - X: -0.003566898, Y: 0.02050469, Z: 0.3358821, Gaze: (0.07, 0.12, 0.99) / Right Eye Position - X: 0.06351596, Y: 0.02215119, Z: 0.3308108, Gaze: (0.07, 0.12, 0.99)
2025-03-07 16:49:15.005, FPS = 71.80917: Left Eye Position - X: -0.003052298, Y: 0.01984189, Z: 0.3372151, Gaze: (0.07, 0.12, 0.99) / Right Eye Position - X: 0.06402995, Y: 0.02133728, Z: 0.3320893, Gaze: (0.07, 0.12, 0.99)
2025-03-07 16:49:16.008, FPS = 71.72868: Left Eye Position - X: -0.002874378, Y: 0.01845406, Z: 0.3399362, Gaze: (0.07, 0.11, 0.99) / Right Eye Position - X: 0.06421098, Y: 0.01999135, Z: 0.3348637, Gaze: (0.07, 0.11, 0.99)
2025-03-07 16:49:17.008, FPS = 71.67803: Left Eye Position - X: -0.001633238, Y: 0.01953324, Z: 0.3343666, Gaze: (0.08, 0.11, 0.99) / Right Eye Position - X: 0.06543014, Y: 0.02095988, Z: 0.3289809, Gaze: (0.08, 0.11, 0.99)
2025-03-07 16:49:18.013, FPS = 72.70409: Left Eye Position - X: -0.005644441, Y: 0.03260126, Z: 0.3231162, Gaze: (0.05, 0.23, 0.97) / Right Eye Position - X: 0.06150907, Y: 0.03484857, Z: 0.3193889, Gaze: (0.05, 0.23, 0.97)
